timestamp,outdoor_temp_c,solar_w_m2,occupancy_count,indoor_temp_c,energy_kwh,equipment_status,heating_setpoint_c,cooling_setpoint_c,electricity_price_per_kwh
2025-01-01 00:00:00,3.0901807133861445,0.0,0,19.572432828478792,0.27653937396320144,0,17.0,28.0,0.15
2025-01-01 01:00:00,1.7933095514089257,11.280188573493026,0,19.18408428017151,0.300439315703296,0,17.0,28.0,0.15
2025-01-01 02:00:00,2.524685785076077,0.0,0,18.851583021761552,0.35743976071070854,0,17.0,28.0,0.15
2025-01-01 03:00:00,2.932730526378745,0.0,0,18.428909259206517,0.32220960297117696,0,17.0,28.0,0.15
2025-01-01 04:00:00,2.26038911153436,0.0,0,18.095611309925047,0.23154107361078163,0,17.0,28.0,0.15
2025-01-01 05:00:00,3.7709859925888383,14.611788667203289,0,17.855390436354526,0.2913902217369538,0,17.0,28.0,0.15
2025-01-01 06:00:00,6.008962069496271,2.825869829192965,0,17.683838517650507,0.37129175170818846,0,17.0,28.0,0.15
2025-01-01 07:00:00,7.547783478315605,150.0236472109987,0,17.344989584298705,0.29144812552600174,0,17.0,28.0,0.15
2025-01-01 08:00:00,9.581109770069663,263.59839080873763,15,18.068183761626596,6.3029808523306325,1,20.5,24.5,0.15
2025-01-01 09:00:00,11.04576947584119,377.71337089989584,14,18.92330869977281,6.450721955416902,1,20.5,24.5,0.15
2025-01-01 10:00:00,13.670381036164205,480.79210924866834,14,19.376570867622245,6.402295700392512,1,20.5,24.5,0.15
2025-01-01 11:00:00,15.138427484659788,531.841947768342,5,20.585866322900763,6.259336210802076,1,20.5,24.5,0.15
2025-01-01 12:00:00,15.962960653506794,555.4873881886413,13,20.515548341049605,0.2851432905567172,1,20.5,24.5,0.15
2025-01-01 13:00:00,17.259638644053616,529.3824945497031,19,20.59105617794929,0.3432940771916694,1,20.5,24.5,0.15
2025-01-01 14:00:00,17.23375467112602,479.0954093459876,5,20.754386004800732,0.2783206639909523,1,20.5,24.5,0.15
2025-01-01 15:00:00,16.39589870561253,390.48992050165225,12,20.23222027791911,0.3459302569806395,1,20.5,24.5,0.15
2025-01-01 16:00:00,16.373193334659565,282.7776738908492,12,20.21939400802587,0.32168781142897024,1,20.5,24.5,0.32
2025-01-01 17:00:00,14.657946539038337,150.42055762583126,18,20.59173657836358,0.309787277019494,1,20.5,24.5,0.32
2025-01-01 18:00:00,14.186204754371103,0.0,0,20.402489096678558,0.3058205922134238,0,17.0,28.0,0.32
2025-01-01 19:00:00,12.091345182780763,0.0,0,20.25303998151469,0.2930012785314329,0,17.0,28.0,0.32
2025-01-01 20:00:00,10.26791429376921,10.017453976515071,0,19.923038047141933,0.3418256048083706,0,17.0,28.0,0.32
2025-01-01 21:00:00,8.262015474453479,11.877250932619365,0,19.870755097393722,0.2653862867159266,0,17.0,28.0,0.15
2025-01-01 22:00:00,7.57737441299667,0.0,0,19.653436310902745,0.23512299492679162,0,17.0,28.0,0.15
2025-01-01 23:00:00,5.488931236950675,0.0,0,19.26729711210005,0.324577604915699,0,17.0,28.0,0.15
